ANO,TIME MANDANTE,TIME VISITANTE,GOLS,VITORIA
1910,UNIÃO LAPA,CORINTHIANS,1,0
1910,CORINTHIANS,ESTRELA POLAR,2,1
1910,CORINTHIANS,LAPA (AA),5,1
1911,CORINTHIANS,CARLOS GOMES,3,1
1911,CORINTHIANS,SANTANNA,1,1
1911,CORINTHIANS,ARGENTINO,1,1
1911,CORINTHIANS,SC ITÁLIA,4,1
1911,UNIÃO LAPA,CORINTHIANS,7,1
1911,PONTE PRETA,CORINTHIANS,1,1
1911,CORINTHIANS (CAMPINAS),CORINTHIANS,4,1
1911,CORINTHIANS,UNIÃO LAPA,4,1
1912,RUGGERONE,CORINTHIANS,5,0
1912,CORINTHIANS,RUGGERONE,6,1
1912,CORINTHIANS,TIRADENTES,4,0
1912,CORINTHIANS,EDEN AMERICANO,2,1
1912,CORINTHIANS,ESTRELA COMETA,6,1
1912,CORINTHIANS,URUGUAY FC,3,1
1912,CORINTHIANS,BOTAFOGO (AA),4,1
1912,PAULISTA,CORINTHIANS,1,1
1912,CORINTHIANS,CONCÓRDIA,5,1
1912,CORINTHIANS,CONCÓRDIA,4,1
1912,CORINTHIANS,MARANHÃO,2,1
1912,CORINTHIANS,MINAS GERAIS,2,1
1912,CORINTHIANS,PONTE PRETA,0,0
1913,CORINTHIANS,MINAS GERAIS,1,1
1913,CORINTHIANS,SÃO PAULO (FC) - BIXIGA,4,1
1913,GERMÂNIA,CORINTHIANS,4,0
1913,CORINTHIANS,INTERNACIONAL,4,0
1913,CORINTHIANS,AMERICANO,8,0
1913,YPIRANGA,CORINTHIANS,2,0
1913,CORINTHIANS,SANTOS,9,0
1913,CORINTHIANS,GERMÂNIA,2,1
1913,INTERNACIONAL,CORINTHIANS,4,0
1913,CORINTHIANS,YPIRANGA,0,0
1913,AMERICANO,CORINTHIANS,2,0
1914,LUSITANO (SC),CORINTHIANS,6,1
1914,INTERNACIONAL,CORINTHIANS,5,1
1914,MINAS GERAIS,CORINTHIANS,3,1
1914,CORINTHIANS,GERMÂNIA,4,1
1914,GERMÂNIA,CORINTHIANS,2,1
1914,CORINTHIANS,CAMPOS ELYSEOS,6,1
1914,HYDECROFT,CORINTHIANS,5,1
1914,CORINTHIANS,TORINO,3,0
1914,CORINTHIANS,TORINO,3,0
1914,SANTOS,CORINTHIANS,0,0
1914,CORINTHIANS,INTERNACIONAL,6,1
1914,MINAS GERAIS,CORINTHIANS,4,1
1914,PONTE PRETA,CORINTHIANS,3,1
1914,CAMPOS ELYSEOS,CORINTHIANS,4,1
1914,CORINTHIANS,LUSITANO (SC),3,1
1914,LUSITANO (SC),CORINTHIANS,0,0
1915,CAÇAPAVENSE,CORINTHIANS,3,1
1915,AA PALMEIRAS,CORINTHIANS,3,1
1915,WANDERERS,CORINTHIANS,5,1
1915,PAULISTA (SÃO CARLOS),CORINTHIANS,5,1
1915,IDEAL CLUB,CORINTHIANS,5,1
1915,CORINTHIANS (JUNDIAÍ),CORINTHIANS,5,1
1915,GUARANI,CORINTHIANS,7,1
1915,SELEÇÃO APEA,CORINTHIANS,3,0
1915,SELEÇÃO APEA,CORINTHIANS,3,0
1916,PAYSANDU,CORINTHIANS,3,1
1916,MINAS GERAIS,CORINTHIANS,6,1
1916,CAÇAPAVENSE,CORINTHIANS,6,1
1916,MINAS GERAIS,CORINTHIANS,6,1
1916,LUSITANO (SC),CORINTHIANS,2,1
1916,GERMÂNIA,CORINTHIANS,0,0
1916,GERMÂNIA,CORINTHIANS,5,1
1916,CORINTHIANS,ANTARCTICA,8,1
1916,CORINTHIANS,VICENTINO,2,0
1916,MARANHÃO,CORINTHIANS,4,1
1916,AMERICANA (AA),CORINTHIANS,7,1
1916,CORINTHIANS,ALUMNY,6,1
1916,COMB. SC INTER-VICENTINO,CORINTHIANS,3,1
1916,CORINTHIANS,LUSITANO (SC),2,1
1916,CAMPOS ELYSEOS,CORINTHIANS,4,1
1916,TAUBATÉ,CORINTHIANS,2,1
1916,SPR (SANTOS),CORINTHIANS,3,0
1916,PAYSANDU,CORINTHIANS,2,1
1916,AMERICANO,CORINTHIANS,1,1
1916,CORINTHIANS,UNIÃO LAPA,4,1
1916,CORINTHIANS,AMERICANO,3,1
1916,SPR (SANTOS),CORINTHIANS,6,1
1916,RIO CLARO,CORINTHIANS,5,1
1917,YPIRANGA,CORINTHIANS,1,1
1917,PAULISTA (SÃO CARLOS),CORINTHIANS,4,1
1917,CORINTHIANS,MACKENZIE,0,0
1917,PALMEIRAS,CORINTHIANS,3,0
1917,CORINTHIANS,AA PALMEIRAS,2,1
1917,INTERNACIONAL,CORINTHIANS,7,1
1917,CORINTHIANS,SÃO BENTO (AA),11,1
1917,SANTOS,CORINTHIANS,6,0
1917,PAULISTANO,CORINTHIANS,3,0
1917,CORINTHIANS,YPIRANGA,4,1
1917,CORINTHIANS,PALMEIRAS,4,0
1917,PAULISTANO,CORINTHIANS,4,0
1917,SANTOS,CORINTHIANS,3,1
1917,MACKENZIE,CORINTHIANS,5,1
1917,CORINTHIANS,INTERNACIONAL,4,0
1917,SÃO BENTO (AA),CORINTHIANS,6,1
1917,CORINTHIANS,PAULISTANO,1,0
1917,CORINTHIANS,SANTOS,5,0
1917,AA PALMEIRAS,CORINTHIANS,3,1
1918,CORINTHIANS,PALMEIRAS,6,0
1918,CORINTHIANS,PALMEIRAS,6,0
1918,CORINTHIANS,SANTOS,4,0
1918,YPIRANGA,CORINTHIANS,3,1
1918,CORINTHIANS,MACKENZIE,3,1
1918,PALMEIRAS,CORINTHIANS,6,0
1918,COMERCIAL (RIBEIRÃO PRETO),CORINTHIANS,1,0
1918,PAULISTA,CORINTHIANS,2,1
1918,CORINTHIANS,MINAS GERAIS,7,1
1918,AA PALMEIRAS,CORINTHIANS,5,0
1918,CORINTHIANS,INTERNACIONAL,4,1
1918,SANTOS,CORINTHIANS,6,0
1918,PAULISTANO,CORINTHIANS,3,1
1918,CORINTHIANS,MACKENZIE,5,1
1918,CORINTHIANS,MINAS GERAIS,5,1
1918,SOROCABANO,CORINTHIANS,9,1
1918,FLAMENGO,CORINTHIANS,3,1
1918,SÃO BENTO (AA),CORINTHIANS,4,1
1918,CORINTHIANS,PAULISTANO,1,0
1918,CORINTHIANS,YPIRANGA,8,1
1919,CORINTHIANS,INTERNACIONAL,7,1
1919,CORINTHIANS,AA PALMEIRAS,8,1
1919,CORINTHIANS,SÃO BENTO (AA),5,1
1919,PONTE PRETA,CORINTHIANS,5,1
1919,SELEÇÃO 2ª DIVISÃO,CORINTHIANS,6,1
1919,UNIÃO BRASIL,CORINTHIANS,2,1
1919,YPIRANGA,CORINTHIANS,4,1
1919,CORINTHIANS,PALMEIRAS,5,1
