Date,Interval
1976-07-14,18.0
1976-10-29,107.0
1977-08-19,294.0
1977-08-27,8.0
1979-05-30,641.0
1979-07-18,49.0
1979-09-12,56.0
1979-11-02,51.0
1979-12-15,43.0
1979-12-18,3.0
1980-09-05,262.0
1981-01-19,136.0
1982-02-24,401.0
1982-12-25,304.0
1983-04-03,99.0
1984-01-10,282.0
1984-08-27,230.0
1985-09-15,384.0
1987-04-26,588.0
1987-11-26,214.0
1989-03-08,468.0
1989-07-14,128.0
1989-08-01,18.0
1990-04-18,260.0
1990-07-06,79.0
1990-11-15,132.0
1991-06-20,217.0
1991-07-04,14.0
1992-02-04,215.0
1992-12-12,312.0
1994-01-21,405.0
1994-02-16,26.0
1994-06-02,106.0
1994-10-09,129.0
1994-11-20,42.0
1995-05-14,175.0
1995-05-19,5.0
1995-10-07,141.0
1996-01-01,86.0
1996-02-17,47.0
1997-09-28,589.0
1998-09-28,365.0
1998-11-29,62.0
1999-12-21,387.0
2000-05-04,135.0
2000-06-04,31.0
2000-06-07,3.0
2000-07-12,35.0
2000-10-25,105.0
2001-02-13,111.0
2001-06-28,135.0
2002-08-15,413.0
2002-09-20,36.0
2002-10-10,20.0
2002-11-02,23.0
2003-01-23,82.0
2003-05-27,124.0
2003-08-11,76.0
2004-01-01,143.0
2004-02-05,35.0
2004-02-16,11.0
2004-11-11,269.0
2004-11-26,15.0
2004-12-26,30.0
2005-01-23,28.0
2005-03-28,64.0
2006-03-14,351.0
2006-05-26,73.0
2006-07-17,52.0
2006-12-01,137.0
2006-12-17,16.0
2007-03-06,79.0
2007-09-09,187.0
2007-09-12,3.0
2007-11-25,74.0
2008-02-20,87.0
2008-09-09,202.0
2008-11-16,68.0
2009-01-03,48.0
2009-02-11,39.0
2009-09-02,203.0
2009-09-30,28.0
2009-11-08,39.0
2010-06-16,220.0
2010-10-25,131.0
2011-03-11,137.0
2011-09-05,178.0
2012-04-11,219.0
2012-08-18,129.0
2013-01-22,157.0
2013-07-02,161.0
2013-10-22,112.0
2015-09-24,702.0
2016-01-16,114.0
2016-08-01,198.0
2016-12-07,128.0
2017-12-15,373.0
2018-01-23,39.0
2018-07-29,187.0
2018-08-05,7.0
2018-08-19,14.0
2018-09-28,40.0
2019-02-28,153.0
2019-03-17,17.0
2019-07-14,119.0
2019-08-02,19.0
2019-09-26,55.0
2020-06-04,252.0
2021-01-15,225.0
2021-04-11,86.0
2021-06-16,66.0
